camera_id,timestamp_vn,motorbike,car,truck,bus,total,file
cam1,2026-01-06 06:19:51,34,8,0,2,44,data/cam1/cam1_20260105_231951.jpg
cam2,2026-01-06 06:19:52,7,0,0,0,7,data/cam2/cam2_20260105_231952.jpg
cam3,2026-01-06 06:19:52,17,2,1,0,20,data/cam3/cam3_20260105_231952.jpg
cam4,2026-01-06 06:19:53,44,3,0,3,50,data/cam4/cam4_20260105_231953.jpg
cam5,2026-01-06 06:19:54,42,15,0,2,59,data/cam5/cam5_20260105_231954.jpg
cam6,2026-01-06 06:19:54,35,3,1,0,39,data/cam6/cam6_20260105_231954.jpg
cam7,2026-01-06 06:19:55,24,4,0,0,28,data/cam7/cam7_20260105_231955.jpg
cam8,2026-01-06 06:19:56,28,14,0,1,43,data/cam8/cam8_20260105_231956.jpg
cam1,2026-01-06 06:24:51,19,15,0,2,36,data/cam1/cam1_20260105_232451.jpg
cam2,2026-01-06 06:24:52,8,3,0,0,11,data/cam2/cam2_20260105_232452.jpg
cam3,2026-01-06 06:24:53,16,6,0,0,22,data/cam3/cam3_20260105_232453.jpg
cam4,2026-01-06 06:24:54,19,8,0,2,29,data/cam4/cam4_20260105_232454.jpg
cam5,2026-01-06 06:24:55,42,29,1,2,74,data/cam5/cam5_20260105_232455.jpg
cam6,2026-01-06 06:24:56,70,7,1,0,78,data/cam6/cam6_20260105_232456.jpg
cam7,2026-01-06 06:24:56,37,0,0,0,37,data/cam7/cam7_20260105_232456.jpg
cam8,2026-01-06 06:24:57,35,4,0,1,40,data/cam8/cam8_20260105_232457.jpg
cam1,2026-01-06 06:29:51,33,15,0,2,50,data/cam1/cam1_20260105_232951.jpg
cam2,2026-01-06 06:29:52,11,1,0,0,12,data/cam2/cam2_20260105_232952.jpg
cam3,2026-01-06 06:29:53,12,3,1,1,17,data/cam3/cam3_20260105_232953.jpg
cam4,2026-01-06 06:29:54,51,13,1,0,65,data/cam4/cam4_20260105_232954.jpg
cam5,2026-01-06 06:29:54,28,31,0,4,63,data/cam5/cam5_20260105_232954.jpg
cam6,2026-01-06 06:29:55,29,7,0,3,39,data/cam6/cam6_20260105_232955.jpg
cam7,2026-01-06 06:29:56,34,0,0,0,34,data/cam7/cam7_20260105_232956.jpg
cam8,2026-01-06 06:29:56,33,13,1,0,47,data/cam8/cam8_20260105_232956.jpg
cam1,2026-01-06 06:34:51,34,20,0,3,57,data/cam1/cam1_20260105_233451.jpg
cam2,2026-01-06 06:34:52,17,0,0,0,17,data/cam2/cam2_20260105_233452.jpg
cam3,2026-01-06 06:34:53,17,1,0,0,18,data/cam3/cam3_20260105_233453.jpg
cam4,2026-01-06 06:34:54,35,8,0,0,43,data/cam4/cam4_20260105_233454.jpg
cam5,2026-01-06 06:34:55,55,29,1,5,90,data/cam5/cam5_20260105_233455.jpg
cam6,2026-01-06 06:34:55,25,8,1,3,37,data/cam6/cam6_20260105_233455.jpg
cam7,2026-01-06 06:34:56,46,4,0,0,50,data/cam7/cam7_20260105_233456.jpg
cam8,2026-01-06 06:34:57,65,13,2,0,80,data/cam8/cam8_20260105_233457.jpg
cam1,2026-01-06 06:39:51,43,8,0,3,54,data/cam1/cam1_20260105_233951.jpg
cam2,2026-01-06 06:39:52,10,0,0,1,11,data/cam2/cam2_20260105_233952.jpg
cam3,2026-01-06 06:39:53,19,3,0,0,22,data/cam3/cam3_20260105_233953.jpg
cam4,2026-01-06 06:39:54,56,11,0,0,67,data/cam4/cam4_20260105_233954.jpg
cam5,2026-01-06 06:39:55,59,37,3,3,102,data/cam5/cam5_20260105_233955.jpg
cam6,2026-01-06 06:39:56,41,11,0,2,54,data/cam6/cam6_20260105_233956.jpg
cam7,2026-01-06 06:39:56,38,3,0,0,41,data/cam7/cam7_20260105_233956.jpg
cam8,2026-01-06 06:39:57,51,17,0,1,69,data/cam8/cam8_20260105_233957.jpg
cam1,2026-01-06 06:44:51,33,16,0,1,50,data/cam1/cam1_20260105_234451.jpg
cam2,2026-01-06 06:44:52,4,1,0,0,5,data/cam2/cam2_20260105_234452.jpg
cam3,2026-01-06 06:44:53,24,8,1,0,33,data/cam3/cam3_20260105_234453.jpg
cam4,2026-01-06 06:44:54,62,11,0,1,74,data/cam4/cam4_20260105_234454.jpg
cam5,2026-01-06 06:44:55,21,21,1,2,45,data/cam5/cam5_20260105_234455.jpg
cam6,2026-01-06 06:44:56,53,9,0,0,62,data/cam6/cam6_20260105_234456.jpg
cam7,2026-01-06 06:44:57,44,5,0,0,49,data/cam7/cam7_20260105_234457.jpg
cam8,2026-01-06 06:44:58,24,8,0,2,34,data/cam8/cam8_20260105_234458.jpg
cam1,2026-01-06 06:49:51,83,23,0,1,107,data/cam1/cam1_20260105_234951.jpg
cam2,2026-01-06 06:49:52,12,4,0,0,16,data/cam2/cam2_20260105_234952.jpg
cam3,2026-01-06 06:49:53,28,2,0,1,31,data/cam3/cam3_20260105_234953.jpg
cam4,2026-01-06 06:49:54,62,12,0,1,75,data/cam4/cam4_20260105_234954.jpg
cam5,2026-01-06 06:49:54,39,31,0,2,72,data/cam5/cam5_20260105_234954.jpg
cam6,2026-01-06 06:49:55,65,11,0,0,76,data/cam6/cam6_20260105_234955.jpg
cam7,2026-01-06 06:49:56,50,6,0,0,56,data/cam7/cam7_20260105_234956.jpg
cam8,2026-01-06 06:49:56,54,9,1,0,64,data/cam8/cam8_20260105_234956.jpg
cam1,2026-01-06 06:54:51,34,13,0,1,48,data/cam1/cam1_20260105_235451.jpg
cam2,2026-01-06 06:54:52,4,3,0,0,7,data/cam2/cam2_20260105_235452.jpg
cam3,2026-01-06 06:54:53,25,6,1,0,32,data/cam3/cam3_20260105_235453.jpg
cam4,2026-01-06 06:54:54,60,5,0,1,66,data/cam4/cam4_20260105_235454.jpg
cam5,2026-01-06 06:54:55,47,27,2,2,78,data/cam5/cam5_20260105_235455.jpg
cam6,2026-01-06 06:54:56,61,5,0,1,67,data/cam6/cam6_20260105_235456.jpg
cam7,2026-01-06 06:54:57,39,6,0,0,45,data/cam7/cam7_20260105_235457.jpg
cam8,2026-01-06 06:54:57,57,7,0,0,64,data/cam8/cam8_20260105_235457.jpg
cam1,2026-01-06 06:59:51,40,19,0,1,60,data/cam1/cam1_20260105_235951.jpg
cam2,2026-01-06 06:59:52,14,1,0,0,15,data/cam2/cam2_20260105_235952.jpg
cam3,2026-01-06 06:59:53,27,6,0,0,33,data/cam3/cam3_20260105_235953.jpg
cam4,2026-01-06 06:59:54,51,11,0,1,63,data/cam4/cam4_20260105_235954.jpg
cam5,2026-01-06 06:59:54,36,23,1,2,62,data/cam5/cam5_20260105_235954.jpg
cam6,2026-01-06 06:59:55,53,2,0,0,55,data/cam6/cam6_20260105_235955.jpg
cam7,2026-01-06 06:59:56,47,6,0,0,53,data/cam7/cam7_20260105_235956.jpg
cam8,2026-01-06 06:59:56,48,12,0,1,61,data/cam8/cam8_20260105_235956.jpg
cam1,2026-01-06 07:04:51,33,15,0,1,49,data/cam1/cam1_20260106_000451.jpg
cam2,2026-01-06 07:04:52,14,3,0,0,17,data/cam2/cam2_20260106_000452.jpg
cam3,2026-01-06 07:04:53,35,4,1,0,40,data/cam3/cam3_20260106_000453.jpg
cam4,2026-01-06 07:04:54,66,12,0,1,79,data/cam4/cam4_20260106_000454.jpg
cam5,2026-01-06 07:04:55,45,12,0,0,57,data/cam5/cam5_20260106_000455.jpg
cam6,2026-01-06 07:04:56,66,6,1,1,74,data/cam6/cam6_20260106_000456.jpg
cam7,2026-01-06 07:04:56,34,7,0,1,42,data/cam7/cam7_20260106_000456.jpg
cam8,2026-01-06 07:04:57,32,16,0,3,51,data/cam8/cam8_20260106_000457.jpg
cam1,2026-01-06 07:09:51,88,24,0,1,113,data/cam1/cam1_20260106_000951.jpg
cam2,2026-01-06 07:09:53,16,3,0,0,19,data/cam2/cam2_20260106_000953.jpg
cam3,2026-01-06 07:09:53,34,3,0,0,37,data/cam3/cam3_20260106_000953.jpg
cam4,2026-01-06 07:09:54,81,7,0,2,90,data/cam4/cam4_20260106_000954.jpg
cam5,2026-01-06 07:09:55,60,25,1,1,87,data/cam5/cam5_20260106_000955.jpg
cam6,2026-01-06 07:09:56,39,5,1,0,45,data/cam6/cam6_20260106_000956.jpg
cam7,2026-01-06 07:09:56,52,2,1,1,56,data/cam7/cam7_20260106_000956.jpg
cam8,2026-01-06 07:09:57,65,8,0,1,74,data/cam8/cam8_20260106_000957.jpg
cam1,2026-01-06 07:14:51,43,12,0,3,58,data/cam1/cam1_20260106_001451.jpg
cam2,2026-01-06 07:14:53,8,1,0,0,9,data/cam2/cam2_20260106_001453.jpg
cam3,2026-01-06 07:14:54,17,4,1,0,22,data/cam3/cam3_20260106_001454.jpg
cam4,2026-01-06 07:14:54,57,9,2,0,68,data/cam4/cam4_20260106_001454.jpg
cam5,2026-01-06 07:14:55,51,22,0,1,74,data/cam5/cam5_20260106_001455.jpg
cam6,2026-01-06 07:14:56,23,3,0,0,26,data/cam6/cam6_20260106_001456.jpg
cam7,2026-01-06 07:14:57,50,5,0,0,55,data/cam7/cam7_20260106_001457.jpg
cam8,2026-01-06 07:14:58,25,11,0,2,38,data/cam8/cam8_20260106_001458.jpg
cam1,2026-01-06 07:19:51,37,22,0,2,61,data/cam1/cam1_20260106_001951.jpg
cam2,2026-01-06 07:19:52,14,0,0,0,14,data/cam2/cam2_20260106_001952.jpg
cam3,2026-01-06 07:19:53,28,8,0,0,36,data/cam3/cam3_20260106_001953.jpg
cam4,2026-01-06 07:19:54,64,10,0,0,74,data/cam4/cam4_20260106_001954.jpg
cam5,2026-01-06 07:19:55,30,19,0,1,50,data/cam5/cam5_20260106_001955.jpg
cam6,2026-01-06 07:19:56,54,5,1,1,61,data/cam6/cam6_20260106_001956.jpg
cam7,2026-01-06 07:19:56,42,2,0,0,44,data/cam7/cam7_20260106_001956.jpg
cam8,2026-01-06 07:19:57,41,18,0,0,59,data/cam8/cam8_20260106_001957.jpg
cam1,2026-01-06 07:24:51,85,13,0,1,99,data/cam1/cam1_20260106_002451.jpg
cam2,2026-01-06 07:24:52,20,4,1,0,25,data/cam2/cam2_20260106_002452.jpg
cam3,2026-01-06 07:24:53,29,6,0,0,35,data/cam3/cam3_20260106_002453.jpg
cam4,2026-01-06 07:24:54,62,4,0,0,66,data/cam4/cam4_20260106_002454.jpg
cam5,2026-01-06 07:24:56,72,17,0,2,91,data/cam5/cam5_20260106_002456.jpg
cam6,2026-01-06 07:24:57,70,9,0,1,80,data/cam6/cam6_20260106_002457.jpg
cam7,2026-01-06 07:24:58,71,1,0,1,73,data/cam7/cam7_20260106_002458.jpg
cam8,2026-01-06 07:24:59,50,8,0,2,60,data/cam8/cam8_20260106_002459.jpg
cam1,2026-01-06 07:29:51,62,22,1,3,88,data/cam1/cam1_20260106_002951.jpg
cam2,2026-01-06 07:29:52,22,2,0,2,26,data/cam2/cam2_20260106_002952.jpg
cam3,2026-01-06 07:29:53,21,2,0,0,23,data/cam3/cam3_20260106_002953.jpg
cam4,2026-01-06 07:29:54,52,10,0,0,62,data/cam4/cam4_20260106_002954.jpg
cam5,2026-01-06 07:29:54,74,10,0,2,86,data/cam5/cam5_20260106_002954.jpg
cam6,2026-01-06 07:29:55,52,4,0,0,56,data/cam6/cam6_20260106_002955.jpg
cam7,2026-01-06 07:29:56,40,3,0,0,43,data/cam7/cam7_20260106_002956.jpg
cam8,2026-01-06 07:29:56,55,14,0,0,69,data/cam8/cam8_20260106_002956.jpg
cam1,2026-01-06 07:34:51,72,14,0,2,88,data/cam1/cam1_20260106_003451.jpg
cam2,2026-01-06 07:34:52,17,3,0,0,20,data/cam2/cam2_20260106_003452.jpg
cam3,2026-01-06 07:34:54,29,8,0,0,37,data/cam3/cam3_20260106_003454.jpg
cam4,2026-01-06 07:34:54,55,15,0,1,71,data/cam4/cam4_20260106_003454.jpg
cam5,2026-01-06 07:34:56,22,23,0,0,45,data/cam5/cam5_20260106_003456.jpg
cam6,2026-01-06 07:34:56,42,5,0,0,47,data/cam6/cam6_20260106_003456.jpg
cam7,2026-01-06 07:34:57,57,1,0,2,60,data/cam7/cam7_20260106_003457.jpg
cam8,2026-01-06 07:34:58,45,13,0,1,59,data/cam8/cam8_20260106_003458.jpg
cam1,2026-01-06 07:39:51,37,25,0,2,64,data/cam1/cam1_20260106_003951.jpg
cam2,2026-01-06 07:39:52,53,2,0,1,56,data/cam2/cam2_20260106_003952.jpg
cam3,2026-01-06 07:39:53,25,5,1,0,31,data/cam3/cam3_20260106_003953.jpg
cam4,2026-01-06 07:39:54,69,8,0,0,77,data/cam4/cam4_20260106_003954.jpg
cam5,2026-01-06 07:39:54,81,24,0,5,110,data/cam5/cam5_20260106_003954.jpg
cam6,2026-01-06 07:39:55,55,6,0,0,61,data/cam6/cam6_20260106_003955.jpg
cam7,2026-01-06 07:39:56,51,1,0,0,52,data/cam7/cam7_20260106_003956.jpg
cam8,2026-01-06 07:39:57,49,16,0,0,65,data/cam8/cam8_20260106_003957.jpg
cam1,2026-01-06 07:44:51,101,24,1,1,127,data/cam1/cam1_20260106_004451.jpg
cam2,2026-01-06 07:44:52,55,6,0,0,61,data/cam2/cam2_20260106_004452.jpg
cam3,2026-01-06 07:44:53,38,7,1,0,46,data/cam3/cam3_20260106_004453.jpg
cam4,2026-01-06 07:44:54,65,10,0,2,77,data/cam4/cam4_20260106_004454.jpg
cam5,2026-01-06 07:44:55,79,30,0,2,111,data/cam5/cam5_20260106_004455.jpg
cam6,2026-01-06 07:44:56,50,5,0,0,55,data/cam6/cam6_20260106_004456.jpg
cam7,2026-01-06 07:44:56,50,4,1,0,55,data/cam7/cam7_20260106_004456.jpg
cam8,2026-01-06 07:44:57,61,8,1,1,71,data/cam8/cam8_20260106_004457.jpg
